name,weather,Date,neighbour,ExportGWh,ImportGWh
Bez Sev.en,WS13,2018-01-16,AT,0.428,10.638
Bez Sev.en,WS13,2018-01-16,DE,0,23.981
Bez Sev.en,WS13,2018-01-17,PL,0,15.915
Bez Sev.en,WS13,2018-01-17,SK,0.687,0
Bez Sev.en,WS13,2018-01-17,AT,0.202,13.215
Bez Sev.en,WS13,2018-01-17,DE,0,20.501
Bez Sev.en,WS13,2018-01-18,PL,2.1,12.467
Bez Sev.en,WS13,2018-01-18,SK,3.584,4.522
Bez Sev.en,WS13,2018-01-18,AT,0,14.483
Bez Sev.en,WS13,2018-01-18,DE,0,20.982
Bez Sev.en,WS13,2018-01-19,PL,0,22.004
Bez Sev.en,WS13,2018-01-19,SK,1.95,1.501
Bez Sev.en,WS13,2018-01-19,AT,0,13.512
Bez Sev.en,WS13,2018-01-19,DE,0,29.452
Bez Sev.en,WS13,2018-01-20,PL,0,12.681
Bez Sev.en,WS13,2018-01-20,SK,0.497,0.035
Bez Sev.en,WS13,2018-01-20,AT,0,10.212
Bez Sev.en,WS13,2018-01-20,DE,0,26.631
Bez Sev.en,WS13,2018-01-21,PL,0,19.901
Bez Sev.en,WS13,2018-01-21,SK,0.3,3.06
Bez Sev.en,WS13,2018-01-21,AT,0,9.261
Bez Sev.en,WS13,2018-01-21,DE,0,30.759
Bez Sev.en a SUAS,WS13,2018-01-08,PL,0,14.197
Bez Sev.en a SUAS,WS13,2018-01-08,SK,0,20.156
Bez Sev.en a SUAS,WS13,2018-01-08,AT,0.138,13.149
Bez Sev.en a SUAS,WS13,2018-01-08,DE,15.282,0.776
Bez Sev.en a SUAS,WS13,2018-01-09,PL,0,19.19
Bez Sev.en a SUAS,WS13,2018-01-09,SK,0,32.757
Bez Sev.en a SUAS,WS13,2018-01-09,AT,2.661,15.323
Bez Sev.en a SUAS,WS13,2018-01-09,DE,35.84,0
Bez Sev.en a SUAS,WS13,2018-01-10,PL,0,18.383
Bez Sev.en a SUAS,WS13,2018-01-10,SK,0,28.567
Bez Sev.en a SUAS,WS13,2018-01-10,AT,0.226,12.066
Bez Sev.en a SUAS,WS13,2018-01-10,DE,36,0
