name,region,week,Demand,Price
Základní,DE,13,11.108,85.577
Základní,DE,14,10.707,83.392
Základní,DE,15,12.363,91.38
Základní,DE,16,12.233,83.54
Základní,DE,17,11.01,72.331
Základní,DE,18,10.746,64.391
Základní,DE,19,10.869,77.405
Základní,DE,20,10.504,70.617
Základní,DE,21,9.741,58.703
Základní,DE,22,9.981,68.133
Základní,DE,23,10.09,50.727
Základní,DE,24,10.007,71.206
Základní,DE,25,10.024,66.119
Základní,DE,26,10.007,73.269
Základní,DE,27,9.994,66.813
Základní,DE,28,9.969,79.285
Základní,DE,29,9.999,82.569
Základní,DE,30,9.986,81.351
Základní,DE,31,10.019,64.99
Základní,DE,32,9.99,70.778
Základní,DE,33,9.989,68.733
Základní,DE,34,10.042,85.322
Základní,DE,35,10.03,82.801
Základní,DE,36,10.044,78.409
Základní,DE,37,10.223,82.28
Základní,DE,38,10.308,85.635
Základní,DE,39,10.333,84.679
Základní,DE,40,10.775,65.777
Základní,DE,41,10.693,83.553
Základní,DE,42,10.834,85.687
Základní,DE,43,11.854,97.381
Základní,DE,44,12.176,106.142
Základní,DE,45,12.498,112.083
Základní,DE,46,12.182,107.508
Základní,DE,47,12.67,100.572
Základní,DE,48,13.147,105.949
Základní,DE,49,12.836,109.68
Základní,DE,50,13.098,98.308
Základní,DE,51,13.088,99.883
Základní,DE,52,12.145,95.034
Základní,DK,1,1.347,95.604
Základní,DK,2,1.119,97.622
Základní,DK,3,1.1,92.202
Základní,DK,4,1.114,106.341
Základní,DK,5,1.287,113.781
Základní,DK,6,1.242,104.117
Základní,DK,7,1.231,110.336
Základní,DK,8,1.155,89.072
Základní,DK,9,1.152,94.005
Základní,DK,10,1.069,81.777
Základní,DK,11,1.129,95.629
Základní,DK,12,1.123,93.423
Základní,DK,13,1.022,88.782
Základní,DK,14,0.986,85.056
Základní,DK,15,1.061,91.021
Základní,DK,16,1.057,86.272
Základní,DK,17,0.98,77.936
Základní,DK,18,0.99,59.7
Základní,DK,19,0.947,81.515
Základní,DK,20,0.952,65.635
Základní,DK,21,0.887,61.579
Základní,DK,22,0.896,65.962
Základní,DK,23,0.934,42.401
Základní,DK,24,0.901,64.526
Základní,DK,25,0.908,55.69
Základní,DK,26,0.89,64.984
Základní,DK,27,0.866,64.016
Základní,DK,28,0.865,81.813
Základní,DK,29,0.869,83.772
Základní,DK,30,0.857,84.056
Základní,DK,31,0.905,66.634
Základní,DK,32,0.884,73.833
Základní,DK,33,0.893,72.888
Základní,DK,34,0.894,87.789
Základní,DK,35,0.908,83.12
Základní,DK,36,0.909,80.61
Základní,DK,37,0.918,84.615
Základní,DK,38,0.924,87.508
Základní,DK,39,0.942,85.374
Základní,DK,40,0.971,65.502
Základní,DK,41,0.972,84.89
Základní,DK,42,1.006,85.849
Základní,DK,43,1.075,95.59
Základní,DK,44,1.06,102.004
Základní,DK,45,1.075,107.616
Základní,DK,46,1.05,101.519
Základní,DK,47,1.071,96.334
Základní,DK,48,1.129,102.209
Základní,DK,49,1.141,105.367
Základní,DK,50,1.114,98.884
Základní,DK,51,1.124,98.117
Základní,DK,52,1.113,93.411
Základní,EE,1,0.269,110.603
Základní,EE,2,0.232,105.073
Základní,EE,3,0.224,108.149
Základní,EE,4,0.224,105.488
Základní,EE,5,0.239,107.236
Základní,EE,6,0.235,103.64
Základní,EE,7,0.227,107.834
Základní,EE,8,0.218,105.586
Základní,EE,9,0.218,95.947
Základní,EE,10,0.211,101.438
Základní,EE,11,0.214,105.727
Základní,EE,12,0.211,97.914
Základní,EE,13,0.207,101.128
Základní,EE,14,0.205,88.096
Základní,EE,15,0.205,88.24
Základní,EE,16,0.204,93.692
Základní,EE,17,0.188,90.72
Základní,EE,18,0.18,59.485
Základní,EE,19,0.187,94.219
Základní,EE,20,0.175,68.271
Základní,EE,21,0.167,60.073
Základní,EE,22,0.166,51.055
Základní,EE,23,0.167,44.409
Základní,EE,24,0.161,51.259
Základní,EE,25,0.161,40.302
Základní,EE,26,0.158,65.3
Základní,EE,27,0.157,61.427
Základní,EE,28,0.155,83.009
Základní,EE,29,0.155,87.365
Základní,EE,30,0.152,91.114
Základní,EE,31,0.163,73.176
Základní,EE,32,0.164,99.781
Základní,EE,33,0.164,90.405
Základní,EE,34,0.164,94.039
Základní,EE,35,0.166,86.14
Základní,EE,36,0.167,75.982
Základní,EE,37,0.169,91.257
Základní,EE,38,0.172,88.902
Základní,EE,39,0.18,73.036
Základní,EE,40,0.182,43.283
Základní,EE,41,0.182,97.765
Základní,EE,42,0.196,85
Základní,EE,43,0.202,102.246
Základní,EE,44,0.216,111.33
Základní,EE,45,0.221,110.327
Základní,EE,46,0.213,98.167
Základní,EE,47,0.217,88.023
Základní,EE,48,0.222,115.854
Základní,EE,49,0.232,108.516
Základní,EE,50,0.228,107.475
Základní,EE,51,0.221,102.049
Základní,EE,52,0.208,86.977
Základní,ES,1,5.764,80.471
Základní,ES,2,5.658,82.837
Základní,ES,3,5.351,75.781
Základní,ES,4,5.798,84.021
Základní,ES,5,6.016,83.644
Základní,ES,6,5.739,71.772
Základní,ES,7,5.778,80.132
Základní,ES,8,5.213,69.736
Základní,ES,9,5.07,54.239
Základní,ES,10,4.885,64.605
Základní,ES,11,5.084,61.482
Základní,ES,12,5.442,70.153
Základní,ES,13,4.668,68.719
Základní,ES,14,4.802,72.453
Základní,ES,15,5.122,77.072
Základní,ES,16,5.168,57.452
Základní,ES,17,4.985,57.274
Základní,ES,18,4.878,68.913
Základní,ES,19,5.007,70.705
Základní,ES,20,4.853,66.506
Základní,ES,21,4.921,64.745
