data_version,YEAR,MARKET_NODE,Category,Value
ERAA 2025 pre-CfE,2028,GR00,FRR,1450
ERAA 2025 pre-CfE,2028,HU00,FCR,42
ERAA 2025 pre-CfE,2028,HU00,FRR,690
ERAA 2025 pre-CfE,2028,IE00,FRR,525
ERAA 2025 pre-CfE,2028,ITCA,FCR,43
ERAA 2025 pre-CfE,2028,ITCA,FRR,420
ERAA 2025 pre-CfE,2028,ITCN,FCR,53
ERAA 2025 pre-CfE,2028,ITCN,FRR,560
ERAA 2025 pre-CfE,2028,ITCS,FCR,80
ERAA 2025 pre-CfE,2028,ITCS,FRR,420
ERAA 2025 pre-CfE,2028,ITN1,FCR,276
ERAA 2025 pre-CfE,2028,ITN1,FRR,1130
ERAA 2025 pre-CfE,2028,ITS1,FCR,43
ERAA 2025 pre-CfE,2028,ITS1,FRR,420
ERAA 2025 pre-CfE,2028,ITSA,FCR,16
ERAA 2025 pre-CfE,2028,ITSA,FRR,300
ERAA 2025 pre-CfE,2028,ITSI,FCR,32
ERAA 2025 pre-CfE,2028,ITSI,FRR,1005
ERAA 2025 pre-CfE,2028,LT00,FCR,16
ERAA 2025 pre-CfE,2028,LT00,FRR,474
ERAA 2025 pre-CfE,2028,MK00,FCR,8
ERAA 2025 pre-CfE,2028,MK00,FRR,180
ERAA 2025 pre-CfE,2028,NL00,FCR,116
ERAA 2025 pre-CfE,2028,NL00,FRR,1825
ERAA 2025 pre-CfE,2028,PL00,FCR,200
ERAA 2025 pre-CfE,2028,PL00,FRR,1000
ERAA 2025 pre-CfE,2028,PT00,FCR,53
ERAA 2025 pre-CfE,2028,PT00,FRR,1300
ERAA 2025 pre-CfE,2028,RO00,FCR,60
ERAA 2025 pre-CfE,2028,RO00,FRR,750
ERAA 2025 pre-CfE,2028,RS00,FCR,34
ERAA 2025 pre-CfE,2028,RS00,FRR,1431.721
ERAA 2025 pre-CfE,2028,SE01,FCR,322
ERAA 2025 pre-CfE,2028,SE01,FRR,147
ERAA 2025 pre-CfE,2028,SE02,FCR,403
ERAA 2025 pre-CfE,2028,SE02,FRR,174
ERAA 2025 pre-CfE,2028,SE03,FCR,64
ERAA 2025 pre-CfE,2028,SE03,FRR,324
ERAA 2025 pre-CfE,2028,SE04,FRR,356
ERAA 2025 pre-CfE,2028,SI00,FCR,29
ERAA 2025 pre-CfE,2028,SI00,FRR,140
ERAA 2025 pre-CfE,2028,SK00,FCR,32
ERAA 2025 pre-CfE,2028,SK00,FRR,843
ERAA 2025 pre-CfE,2028,UKNI,FRR,175
ERAA 2024,2030,AL00,FCR,8
ERAA 2024,2030,AL00,FRR,151
ERAA 2024,2030,AT00,FCR,72.1
ERAA 2024,2030,AT00,FRR,480
ERAA 2024,2030,BE00,FCR,48
ERAA 2024,2030,BE00,FRR,439
ERAA 2024,2030,BG00,FCR,45
ERAA 2024,2030,BG00,FRR,905
ERAA 2024,2030,CH00,FCR,62
ERAA 2024,2030,CH00,FRR,907
ERAA 2024,2030,CZ00,FCR,23
ERAA 2024,2030,CZ00,FRR,730
ERAA 2024,2030,DE00,FCR,564
ERAA 2024,2030,DE00,FRR,2533
ERAA 2024,2030,DKE1,FCR,69.6
ERAA 2024,2030,DKE1,FRR,662.3
ERAA 2024,2030,DKW1,FCR,33.2
ERAA 2024,2030,DKW1,FRR,800
ERAA 2024,2030,EE00,FCR,12
ERAA 2024,2030,EE00,FRR,346
ERAA 2024,2030,ES00,FCR,400
ERAA 2024,2030,ES00,FRR,6000
ERAA 2024,2030,FI00,FCR,325
ERAA 2024,2030,FI00,FRR,1659
ERAA 2024,2030,GR00,FCR,40
ERAA 2024,2030,GR00,FRR,2700
ERAA 2024,2030,HR00,FCR,157
ERAA 2024,2030,HR00,FRR,150
ERAA 2024,2030,HU00,FCR,46
ERAA 2024,2030,HU00,FRR,2583
ERAA 2024,2030,IE00,FCR,393.8
ERAA 2024,2030,IE00,FRR,481.3
ERAA 2024,2030,ITCA,FCR,43
ERAA 2024,2030,ITCA,FRR,420
ERAA 2024,2030,ITCN,FCR,53
ERAA 2024,2030,ITCN,FRR,560
ERAA 2024,2030,ITCS,FCR,80
ERAA 2024,2030,ITCS,FRR,420
ERAA 2024,2030,ITN1,FCR,276
ERAA 2024,2030,ITN1,FRR,1115
ERAA 2024,2030,ITS1,FCR,43
ERAA 2024,2030,ITS1,FRR,420
ERAA 2024,2030,ITSA,FCR,16
ERAA 2024,2030,ITSA,FRR,285
ERAA 2024,2030,ITSI,FCR,32
ERAA 2024,2030,ITSI,FRR,1065
ERAA 2024,2030,LT00,FCR,19
ERAA 2024,2030,LT00,FRR,584
ERAA 2024,2030,MK00,FCR,8
ERAA 2024,2030,MK00,FRR,180
ERAA 2024,2030,MT00,FCR,9.5
ERAA 2024,2030,NL00,FCR,116
ERAA 2024,2030,NL00,FRR,2000
ERAA 2024,2030,NOM1,FCR,50
ERAA 2024,2030,NOM1,FRR,100
ERAA 2024,2030,NON1,FCR,50
ERAA 2024,2030,NON1,FRR,100
ERAA 2024,2030,NOS1,FCR,33
ERAA 2024,2030,NOS1,FRR,166
ERAA 2024,2030,NOS2,FCR,33
ERAA 2024,2030,NOS2,FRR,166
ERAA 2024,2030,NOS3,FCR,33
ERAA 2024,2030,NOS3,FRR,166
ERAA 2024,2030,PL00,FCR,200
ERAA 2024,2030,PL00,FRR,1000
ERAA 2024,2030,PT00,FCR,53
ERAA 2024,2030,PT00,FRR,1550
ERAA 2024,2030,RO00,FCR,60
ERAA 2024,2030,RO00,FRR,750
ERAA 2024,2030,RS00,FCR,68
ERAA 2024,2030,RS00,FRR,1675.2
ERAA 2024,2030,SE01,FCR,322
ERAA 2024,2030,SE01,FRR,105
ERAA 2024,2030,SE02,FCR,403
ERAA 2024,2030,SE02,FRR,105
ERAA 2024,2030,SE03,FCR,64
ERAA 2024,2030,SE03,FRR,391
ERAA 2024,2030,SE04,FCR,16.1
ERAA 2024,2030,SI00,FCR,29
ERAA 2024,2030,SI00,FRR,240
ERAA 2024,2030,SK00,FCR,28.2
ERAA 2024,2030,SK00,FRR,654
ERAA 2024,2030,UKNI,FCR,161
ERAA 2024,2030,UKNI,FRR,39
ERAA 2025 final,2030,AL00,FCR,8
ERAA 2025 final,2030,AL00,FRR,150
ERAA 2025 final,2030,AT00,FCR,64.998
ERAA 2025 final,2030,AT00,FRR,479.998
ERAA 2025 final,2030,BE00,FCR,48
ERAA 2025 final,2030,BE00,FRR,497
ERAA 2025 final,2030,BG00,FCR,45
ERAA 2025 final,2030,BG00,FRR,905
ERAA 2025 final,2030,CH00,FCR,67
ERAA 2025 final,2030,CH00,FRR,886
ERAA 2025 final,2030,CY00,FCR,30
ERAA 2025 final,2030,CY00,FRR,30
ERAA 2025 final,2030,CZ00,FCR,22
ERAA 2025 final,2030,CZ00,FRR,962
ERAA 2025 final,2030,DE00,FCR,564
ERAA 2025 final,2030,DE00,FRR,2550
ERAA 2025 final,2030,DKE1,FCR,75
ERAA 2025 final,2030,DKE1,FRR,550
ERAA 2025 final,2030,DKW1,FCR,25
ERAA 2025 final,2030,DKW1,FRR,550
ERAA 2025 final,2030,EE00,FCR,12
ERAA 2025 final,2030,EE00,FRR,346
ERAA 2025 final,2030,ES00,FCR,400
ERAA 2025 final,2030,ES00,FRR,6999.998
ERAA 2025 final,2030,FI00,FCR,325
ERAA 2025 final,2030,FI00,FRR,1658.999
ERAA 2025 final,2030,FR00,FRR,2100
ERAA 2025 final,2030,GR00,FCR,40
ERAA 2025 final,2030,GR00,FRR,1200
ERAA 2025 final,2030,HU00,FCR,10
ERAA 2025 final,2030,HU00,FRR,817
ERAA 2025 final,2030,IE00,FRR,1050
ERAA 2025 final,2030,ITCA,FCR,43
ERAA 2025 final,2030,ITCA,FRR,480
ERAA 2025 final,2030,ITCN,FCR,53
ERAA 2025 final,2030,ITCN,FRR,640
ERAA 2025 final,2030,ITCS,FCR,80
ERAA 2025 final,2030,ITCS,FRR,480
ERAA 2025 final,2030,ITN1,FCR,276
ERAA 2025 final,2030,ITN1,FRR,1290
ERAA 2025 final,2030,ITS1,FCR,43
ERAA 2025 final,2030,ITS1,FRR,480
ERAA 2025 final,2030,ITSA,FCR,16
ERAA 2025 final,2030,ITSA,FRR,301
ERAA 2025 final,2030,ITSI,FCR,32
ERAA 2025 final,2030,ITSI,FRR,1000
ERAA 2025 final,2030,LT00,FCR,19
ERAA 2025 final,2030,LT00,FRR,584
ERAA 2025 final,2030,MK00,FCR,8
ERAA 2025 final,2030,MK00,FRR,180
ERAA 2025 final,2030,NL00,FCR,116
ERAA 2025 final,2030,NL00,FRR,2000
ERAA 2025 final,2030,NOM1,FCR,300
ERAA 2025 final,2030,NOM1,FRR,600
ERAA 2025 final,2030,NON1,FCR,300
ERAA 2025 final,2030,NON1,FRR,600
ERAA 2025 final,2030,NOS1,FCR,300
ERAA 2025 final,2030,NOS1,FRR,600
ERAA 2025 final,2030,NOS2,FCR,300
ERAA 2025 final,2030,NOS2,FRR,600
ERAA 2025 final,2030,NOS3,FCR,300
ERAA 2025 final,2030,NOS3,FRR,600
