MARKET_NODE,OP_STAT,MAX LOAD CAP (MW),STORAGE CAPACITY (MWh),TARGET_YEAR,Country,data_version
HU00,Out of market - for PV/battery dispatch optimization,179.1533333,501.6293333,2033,HU,ERAA 2025 final
IE00,Available on market,539,1610,2033,IE,ERAA 2025 final
ITCA,Available on market,764,5120.3,2033,IT,ERAA 2025 final
ITCN,Available on market,708.3,1719.15,2033,IT,ERAA 2025 final
ITCS,Available on market,2508.349,12352.876,2033,IT,ERAA 2025 final
ITN1,Available on market,5520.647,14821.67548,2033,IT,ERAA 2025 final
ITS1,Available on market,3432.399,24908.496,2033,IT,ERAA 2025 final
ITSA,Available on market,2632.4,16198.215,2033,IT,ERAA 2025 final
ITSI,Available on market,2932.298,20546.692,2033,IT,ERAA 2025 final
LT00,Available on market,1710,4885.7,2033,LT,ERAA 2025 final
LT00,Out of market - primary purpose other operational activities,200,200,2033,LT,ERAA 2025 final
LUG1,Out of market - for PV/battery dispatch optimization,32.5,32.5,2033,LU,ERAA 2025 final
LV00,Available on market,220,440,2033,LV,ERAA 2025 final
MK00,Available on market,80,320,2033,MK,ERAA 2025 final
MT00,Available on market,40,84,2033,MT,ERAA 2025 final
NL00,Available on market,16587.2,132078.6,2033,NL,ERAA 2025 final
PL00,Available on market,6110,26992,2033,PL,ERAA 2025 final
PT00,Available on market,2300,9200,2033,PT,ERAA 2025 final
RO00,Available on market,2000,4000,2033,RO,ERAA 2025 final
RS00,Available on market,622.49,1978.56,2033,RS,ERAA 2025 final
SE01,Available on market,50,13.492,2033,SE,ERAA 2025 final
SE02,Available on market,50,114.688,2033,SE,ERAA 2025 final
SE03,Available on market,50,936.956,2033,SE,ERAA 2025 final
SE04,Available on market,50,706.712,2033,SE,ERAA 2025 final
SI00,Available on market,770.5833333,1387.05,2033,SI,ERAA 2025 final
SK00,Available on market,664,1384,2033,SK,ERAA 2025 final
UK00,Available on market,25511.02,45221.26,2033,UK,ERAA 2025 final
UKNI,Available on market,100,140,2033,UK,ERAA 2025 final
AT00,Available on market,3600,7200,2035,AT,ERAA 2025 final
AT00,Out of market - for PV/battery dispatch optimization,4849.995,9699.99,2035,AT,ERAA 2025 final
BE00,Available on market,3851,12199.10501,2035,BE,ERAA 2025 final
BG00,Available on market,1228.4,2680,2035,BG,ERAA 2025 final
CH00,Out of market - for PV/battery dispatch optimization,2986,1490,2035,CH,ERAA 2025 final
CY00,Available on market,160,400,2035,CY,ERAA 2025 final
CZ00,Available on market,2031.03,4062.06,2035,CZ,ERAA 2025 final
DE00,Available on market,39552.58,83695.88,2035,DE,ERAA 2025 final
DE00,Out of market - for PV/battery dispatch optimization,36343.2,87223.68,2035,DE,ERAA 2025 final
DKE1,Available on market,293.68,587.36,2035,DK,ERAA 2025 final
DKW1,Available on market,625.31,16610.61,2035,DK,ERAA 2025 final
EE00,Available on market,1500,3000,2035,EE,ERAA 2025 final
ES00,Available on market,2907.52,7085.04,2035,ES,ERAA 2025 final
FI00,Available on market,4711.1,11777.75,2035,FI,ERAA 2025 final
GR00,Available on market,6015,15337.5,2035,GR,ERAA 2025 final
GR03,Available on market,150,386,2035,GR,ERAA 2025 final
HR00,Available on market,66,66,2035,HR,ERAA 2025 final
HU00,Available on market,538.4515667,1076.903133,2035,HU,ERAA 2025 final
